phylum,abundance,Group
p__Firmicutes,89.74682,A
p__Verrucomicrobia,4.902466667,A
p__Bacteroidetes,4.688821667,A
p__Proteobacteria,0.601283333,A
p__Actinobacteria,0.060606667,A
p__Firmicutes,87.02255667,B
p__Verrucomicrobia,7.59842,B
p__Bacteroidetes,4.620828333,B
p__Proteobacteria,0.683846667,B
p__Actinobacteria,0.07435,B
p__Firmicutes,84.5961,C_A
p__Verrucomicrobia,12.30753333,C_A
p__Bacteroidetes,2.477573333,C_A
p__Proteobacteria,0.442708333,C_A
p__Actinobacteria,0.176088333,C_A
p__Firmicutes,81.99167167,C_B
p__Verrucomicrobia,14.48304167,C_B
p__Bacteroidetes,3.447458333,C_B
p__Proteobacteria,0.024108333,C_B
p__Actinobacteria,0.05372,C_B
